Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Kackle Lantern Fuel,flask,Kackle,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Lantern,"When used to light a mundane hooded or bullseye lantern, it temporarily becomes magical for the duration of the fuel (6 hours). Mixing other fuels does not extend this time, but turning the lantern off can be done to save the remaining fuel for later. As a Magic Action you can use the langern to produce a melee or ranged (60 ft) flame of a specific color, using a +7 to hit. The following colors have these effects: Blue does 1d6 + 4 Cold damage, and the target has the Restrained condition until the end of its next turn. Green does 3d10 + 4 Necrotic damage, and the target’s Speed is 0 until the end of its next turn. Purple does 1d12 + 4 Psychic damage, and the target has the Frightened condition until the end of its next turn. Red does 2d10 + 4 Fire damage, and the target starts burning, taking 1d10 Fire damage instead of the regular burning damage.","When used as cooking oil, you can prepare food with a special effect for up to 4 people. When eaten, your eyes can glow Bright Light for a 10 ft cone, and Dim Light a 20 ft cone, of one of the colors for 1 hour, and you can make a Kackle Fire Breath attack as a Magic Action. You spit fire in a 15 ft cone, and creatures in the area make a DC 14 Dexterity Saving Throw. On a Failure, they suffer the following effects for each color, while on a save they suffer no damage or effect. Blue does 1d4 Cold damage, and the target has the Restrained Condition until the end of its next turn. Green does 3d8 Necrotic damage, and the target's Speed is 0 until the end of its next turn. Purple does 1d10 Psychic damage, and the target has the Frightened condition until the end of its next turn. Red does 2d8 Fire damage, and the target starts burning, taking 1d8 Fire damage instead of the regular burning damage.","Survival, Perception, Investigation, Arcana","15(x1)", "Maidenmist Cementery, Foxwillow (Galloping Headsman riled), Maidenmist Cementery (The Barrow King)"
Kackle Charm,flask,Kackle,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Crush,"This doll reminiscent of a Kackle holds some of its magic. When crushed as a Bonus Action, the user can teleport to an unoccupied space they can see up to 30 ft. and a faint ghostly laugh can be heard in the place they used to be.",-,"Survival, Perception, Investigation, Arcana","15(x1)", "Maidenmist Cementery, Foxwillow (Galloping Headsman riled), Maidenmist Cementery (The Barrow King)"
Raven Feather,pouch,Swarm of Ravens,Ingredient (Common),"Ink Pen, Potions, Scrolls, Rods, Wands, Staffs, Rings, Wondrous Items, Arrow Fletchings",13 GP,-,"A large black feather with an iridescent shine. It can be used as 13 GP worth of materials to craft magical items. Alternatively, it can make a nice quill or ink pen.",-,"Survival, Nature, Arcana","10(x1),13(x3),15(x5)", "Moors, Foxwillow"
Raven Meat,bag,Swarm of Ravens,Ingredient (Common),-,-,-,-,"You can cook this for mundane food for 1 person","Survival, Nature","10(x1),13(x3),15(x5)", "Moors, Foxwillow"
Unidentified Spooky Object,bag,Invader Out of Space,Consumable (Rare),"Potions, Scrolls, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Activate,"An item out of this world, it seems that wen activated you can succeed automatically the next Deception check you make.",-,"Survival, Perception, Investigation","15(x1)", "Meteorite crashsite"
Meteorite Dust,bag,Invader Out of Space,Consumable (Rare),"Potions, Scrolls, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,"Throw, Sprinkle","When sprinkled, creatures in a 10 ft radius can move by floating an inch above the ground, moving silently and leaving no tracks, and gain 10 ft of speed. When thrown, creatures in a 10 ft radius levitate 20 ft off the ground and can't move freely unless they have a fly speed. Either effect lasts 1 hour.",-,"Survival, Investigation","13(x1),15(x2),17(x3)", "Meteorite crashsite"
Harvested Blood,"vial,bottle(x10)","Crimson Clergy, The Crimson Abbot, Vampire Spawn, Hemonculus",Ingredient (Common),"Potions, Scrolls, Spells",13 GP,Absorb,"This blood is harvested by vampiric creatures for their rituals and spells. You can use it in place of 13 GP whenever crafting Potions or Scrolls, or casting a spell with costly material components.","You can use 10 vials to make blood pudding for 1 person. When eaten, you gain +1 to your Charisma modifier for 1 hour.","Survival, Nature, Religion, Arcana, Fated Tarot Reading (The Crimson Abbot)","10(x2),13(x5),15(x7),20(x10)(The Crimson Abbot), Auto Success on Fated Tarot: The Hierophant (x10) (The Crimson Abbot)", "Howlers, The Crimson Monastery"
Random Relic (DMG p.331) (Common),-,"Crimson Clergy, Druid, Mummy, Cultist, Priest, Cultist Fanatic, Priest Acolyte",-,-,-,-,-,-,"Perception, Investigation, Religion, Arcana","13(x1), 15(x1)(Cultist, Priest), 17(x1)(Cultist Fanatic, Priest Acolyte)", "Moors, The Crimson Monastery, Howlers, Hartsblight Forest, Maidenmist Cementery, Rowan's Rise"
Crimson Wine (Draught of the Red Hunger Base),"vial, bottle(x10)","Crimson Clergy, The Crimson Abbot",Consumable (Uncommon),"Potion (Draught of the Red Hunger)",1000 GP,Drink,"This crimson wine, when distilled, can be used as 1000 GP worth in materials towards the 50,000 GP necessary to craft a Draught of the Red Hunger potion. When drunk directly, it enhances the body for 10 minutes, gaining +10 ft ground speed and +20ft climb speed. However, it also gives the user sunlight sensitivity giving disadvantage on D20 tests while exposed, and it also gives the user an urge to say Bleh Bleh Bleh","When used for cooking, you can cook food with special effects for 4 people. When eaten, you do not have Disadvantage on attacks melee made in Darkness for 1 hour, and it also gives the user sunlight sensitivity giving disadvantage on D20 tests while exposed, and it also gives the user an urge to say Bleh Bleh Bleh","Perception, Investigation, Religion, Arcana, Fated Tarot Reading (The Crimson Abbot)","17(x5),20(x10), 23(x30)(The Crimson Abbot), Auto Success on Fated Tarot: The Hierophant (x30)(The Crimson Abbot)", "The Crimson Monastery, Howlers"
Life vessel,vial,Night Creature,Consumable (Uncommon),"Potions, Scrolls, Rods, Wands, Staffs, Rings, Wondrous Items",50 GP,Drink,"Night creatures are life made from death. When consuming the remnants of a night creature, your Hit Point Maximum permanently increases by 5",-,"Religion, Arcana","17(x1)", "The Crimson Monastery, Howlers"
Pirozhki,bag,Night Creature,Consumable (Rare),-,-,Eat,"What? How? After killing the Night Creature, all that remained is a plate with one pirozhok for each member in your party. When eaten, each pirozhok heals 8d4+8 Hit Points",-,"Survival, Perception, Investigation","20(x1)", "The Crimson Monastery, Howlers"
Bat Eyes,pouch,Swarm of Bats, Consumable (Common), "Potions, Scrolls, Spells",5 GP, Fire with arrow, "When fired attached to an ammunition, the attack hits without needing to make an attack roll. You can alternatively use these in place of 5 GP towards the 25 GP needed to craft Homing Ammunition (Common)(10).",-,"Survival, Nature","13(x1),15(x4),20(x8)","Dawn's Gate"
Bat Wings,bag,Swarm of Bats, Consumable (Common), "Potions, Scrolls, Spells, Arrow Fletchings",5 GP,Fire with arrow, "When fired attached to an ammunition, double the range of the attack. Alternatively, you can use them in place of 5 GP towards the 25 GP necessary to craft Flying Ammunition (Common)(10), which double the range of regular ammunition of the same weapon. You can also use it as 5 GP worth in materials towards the 200 GP necessary to craft a Distant Shot Ring (Uncommon).",-,"Survival,Nature","13(x1),15(x4),20(x8)","Dawn's Gate"
Distant Shot Ring,pouch,-,Ring (Uncommon),-,-,-,"A ring with a bat wing motif in it. When wearing this ring, you double the range of ammunition you use.",-,-,-,-
Bat Echor,vial,Bat Hound,Consumable (Common),"Potions, Scrolls, Spells",13 GP,"Weapon enchant","You can use a Bonus Action to apply this to a weapon. When applied to a weapon, sound waves will extend from the weapon. The weapon can now be used in an additional 10 ft of reach and deals +1d4 Psychic damage.","When used in cooking, you can make food with special effects for 1 person. When eaten, you gain +5 to Perception checks when listening for sounds for 1 hour.","Survival, Investigation, Nature, Religion, Fated Tarot Reading","13(x1), Auto Success on Fated Tarot: Justice (x1)","Dawn's Gate, The Crimson Monastery, Howlers, Maidenmist Cementery (The Barrow King)"
Bat Hound Wings,bag,Bat Hound,Consumable (Uncommon),"Potions, Scrolls, Weapons, Armor, Shields, Arrow Fletchings, Rods, Wands, Staffs, Rings, Wondrous Items",50 GP,Wear,"Some magic remains on these bat hound wings. Worn on your back, they will slow your descent on falls that would incur damage. After one use, they crumble into dust. If worn in direct sunlight, they crumble into dust. Alternatively, you can use the wings as 50 GP in crafting material for the 50 GP necessary to make Flying Ammunition (Common)(20), which double the range of regular ammunition of the same weapon.",-,"Survival, Nature, Religion, Arcana, Fated Tarot Reading","15(x1), Auto Success on Fated Tarot: Justice (x1)", "Dawn's Gate, The Crimson Monastery, Howlers, Maidenmist Cementery (The Barrow King)"
Chewed Homeward Bone,bag,"Bat Hound, Boneflayer",Consumable (Rare),"Potions, Scrolls, Spells",500 GP,Activate,"It seems that someone liked chewing on these bones on their free time. These bones yearn for some rest. If you collect two of these you can combine them to get the effects of 1 Homeward Bone. Alternatively, you can use its effect but instead of 6 people, you can use it for 3 people.","You can cook this bone to cook a bone broth for up to 3 people. When drunk, you gain the effects of a short rest without needing to spend time to rest.","Survival, Perception, Investigation, Religion, Fated Tarot Reading","23(x1)(Bone Hound), Auto Success on Fated Tarot: Justice (x1)(Bat Hound),15(x1)(Boneflayer),20(x2)(Boneflayer)","The Crimson Monastery, Moors"
Homeward Bone,bag,"Bat Hound, Skeleton, The Chained Reaper, Boneflayer",Consumable (Very Rare),"Potions, Scrolls, Spells",1000 GP,Activate,"You find a particular white glow in this bone. These bones yearn for some rest. You and up to five willing creatures within 5 feet of you instantly teleport to a previously designated sanctuary, or the last place you took a short or long rest. You and any creatures that teleport with you appear in the nearest unoccupied space to the sanctuary or place you rested. You can designate a location, such as a temple, as a sanctuary by casting this spell there.","You can cook this bone to cook a bone broth for up to 6 people. When drunk, you gain the effects of a short rest without needing to spend time to rest.","Survival, Perception, Investigation, Religion, Fated Tarot Reading","17(x1)(The Chained Reaper), 20(x2)(The Chained Reaper), 25(x3)(The Chained Reaper), Auto Success on Fated Tarot: Judgement (x3)(The Chained Reaper), 27(x1)(Bat Hound), 35(x1)(Skeleton), 23(x1)(Bone Flayer)","The Crimson Monastery, Maidenmist Cementery"
Horse Hooves,bag,Warhorse,Ingredient(Common),"Gaming Dice, Armor, Glue, Sovereign Glue",13 GP,-,"You can use these to make mundane or magical glue, or dice and other small trinkets",-,"Survival, Nature","10(x2),13(x4)","The Crimson Monastery"
Iron Horseshoe,bag,Warhorse,Mundane,-,-,-,"There are folktales that an iron horseshoe will keep some creatures at bay. You might as well take it",-,"Survival, Nature","10(x2),13(x4)","The Crimson Monastery"
Horse Meat,bag,Warhorse,Ingredient (Common),-,-,-,-,"You can use this to cook mundane food for 8 people","Survival,Nature","15(x1)","The Crimson Monastery"
Random Magic Item Except Relics (DMG p.327),-,Alpengrendel,-,-,-,-,-,-,"Survival, Perception, Investigation","17(x1)","Dawn's Gate, Howlers"
Alpengrendel Horn,bag,Alpengrendel,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Blow,"This Alpengrendel Horn retains some of its cold magic. The horn has 3 charges, and loses its magic after spending all of them. As a Magic Action, you can blow the horn and create a blast of cold in a 30 ft Cone. Creatures in the area make a DC 15 Constitution Saving Throw, failing which they take 4d6 Cold damage, their speed is halved and have Disadvantage on attack rolls until the start of the user's next turn, or take half damage and no aditional effects on a success. The effect fails to activate without spending a charge if there are Holy Symbols or Relics (religious magic items) within 10 ft of the horn.",-,"Survival, Nature, Arcana","15(x1),20(x2)", "Dawn's Gate, Howlers"
Alpengrendel Tusk,bag,Alpengrendel,Consumable (Uncommon),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",50 GP,Weapon enchant,"When banged against a weapon, some of the magic of the horn resonates with it. The tusk has 2 charges, and loses its magic after spending all of them. You can spend 1 charge to add +1d6 Cold damage to all hits with the weapon for 10 minutes. The effect fails to activate without spending a charge if there are Holy Symbols or Relics (religious magic items) within 10 ft of the tusk.",-,"Survival, Nature, Arcana","13(x1),17(x2)", "Dawn's Gate, Howlers"
